Unnamed: 0,id,metro,parking,renovation,kids_pets_allowed,misc,Square,Rooms,Clear_price,house_floor,appt_floor,balcony_and_loggy,sum_lift,sum_bath
0,271271157,4,3,3,3,11,200.0,4,500000.0,16,5,1,4,1
1,271634126,4,3,3,2,10,198.0,4,500000.0,16,5,1,3,3
2,271173086,4,3,3,2,11,200.0,4,500000.0,16,5,1,2,3
3,272197456,4,3,3,2,11,170.0,4,400000.0,6,5,1,2,3
4,273614615,4,1,3,1,9,58.0,2,225000.0,26,12,1,3,2
5,274837728,4,1,3,1,9,92.0,3,470000.0,7,3,1,3,1
6,273643908,4,1,3,3,9,213.0,5,350000.0,5,4,1,2,2
7,274475342,4,3,3,3,9,98.0,3,250000.0,4,2,1,2,2
8,273973191,4,2,3,2,8,120.0,3,130000.0,10,5,1,2,1
9,272900409,4,2,3,2,9,90.0,4,210000.0,7,2,2,2,2
10,271036964,4,3,3,2,11,170.0,4,290000.0,7,6,1,2,3
11,273999490,4,1,3,1,8,80.0,3,100000.0,8,4,3,2,1
12,274017037,4,1,3,3,11,100.0,3,200000.0,4,2,1,2,2
13,273231024,4,1,3,3,11,180.0,5,500000.0,8,6,2,4,3
14,274839211,4,3,3,1,7,222.2,5,450000.0,9,5,2,2,2
15,274767901,4,1,3,1,4,225.0,5,450000.0,9,5,1,4,1
16,274995950,4,1,3,3,11,30.0,2,120000.0,26,19,1,3,1
17,274945807,4,1,3,3,10,222.0,5,450000.0,9,5,2,3,1
18,272911145,4,1,3,1,8,150.0,5,180000.0,7,4,2,2,2
19,274748017,4,1,3,3,10,201.0,5,190000.0,3,3,1,2,3
20,273941734,4,1,3,3,9,64.0,2,205000.0,26,12,1,3,2
21,274493570,4,3,3,2,10,112.0,3,230000.0,7,2,2,2,2
22,274849101,4,1,3,1,8,190.0,4,590000.0,5,4,1,1,1
23,223918678,4,1,3,3,11,255.6,5,850000.0,9,8,1,3,3
24,274391259,4,2,3,3,10,186.0,5,190000.0,3,3,1,1,2
25,272945376,4,1,3,3,11,100.0,3,200000.0,8,3,1,2,2
26,272612966,4,1,3,1,9,150.0,5,200000.0,7,4,2,2,2
27,271568490,4,1,3,2,7,140.0,5,300000.0,7,2,1,2,1
28,264664760,4,1,3,3,11,132.8,3,400000.0,13,5,1,3,2
29,228923308,4,3,3,3,10,256.0,5,750000.0,10,8,1,3,3
30,267489303,4,2,2,3,9,380.0,6,870000.0,6,3,1,2,3
31,273353104,4,3,3,1,10,112.0,3,350000.0,13,3,1,3,2
32,273353103,4,3,3,1,10,91.0,2,400000.0,13,10,1,3,2
33,268321690,4,3,3,3,5,135.0,3,400000.0,13,5,1,4,2
34,269496185,4,3,3,2,10,190.0,4,590000.0,5,4,1,3,2
35,272188531,4,1,3,1,10,44.0,2,135000.0,26,21,1,3,1
36,272727784,4,1,3,3,11,85.0,3,150000.0,7,7,2,3,1
37,267110043,4,1,3,2,10,100.0,2,320000.0,7,5,2,3,2
38,265323319,4,3,3,2,10,133.3,3,400000.0,13,5,1,3,2
39,265804792,4,1,3,2,10,210.0,4,400000.0,5,3,2,1,3
40,239000408,4,1,3,3,10,180.0,4,450000.0,4,4,1,1,2
41,271209314,4,1,3,2,10,165.0,4,470000.0,16,9,1,3,2
42,269889430,4,1,3,2,10,190.0,4,590000.0,6,4,1,3,2
43,241704098,4,1,3,2,10,168.0,4,600000.0,16,4,1,3,2
44,239000331,4,1,3,2,10,250.0,5,850000.0,9,8,1,3,3
45,272823500,4,3,3,1,8,85.0,3,150000.0,7,7,2,2,1
46,274402813,4,3,3,3,6,105.0,3,195000.0,17,6,1,3,3
47,270190788,4,3,3,3,8,134.0,3,300000.0,16,8,2,2,2
48,271265359,4,1,3,2,11,60.0,2,90000.0,6,5,1,2,1
49,274289253,4,1,3,1,6,85.0,3,150000.0,7,7,2,3,1
50,274150874,4,1,3,1,9,150.0,5,250000.0,6,4,1,3,1
51,274849686,4,3,3,1,10,142.0,4,350000.0,13,12,1,2,2
52,274315381,4,1,3,3,8,222.0,5,450000.0,9,7,2,2,1
53,273779074,4,1,3,3,6,60.0,2,120000.0,6,3,1,2,1
54,274217247,4,1,3,2,5,103.0,3,120000.0,3,2,1,1,1
55,272156997,4,1,3,3,11,170.0,5,175000.0,5,5,1,2,2
56,274617827,4,1,3,3,5,200.0,5,190000.0,3,3,1,1,1
57,274252871,4,3,3,3,10,105.0,3,240000.0,17,6,2,4,3
58,269132104,4,3,3,2,9,60.0,1,250000.0,12,2,1,3,1
59,273911217,4,1,3,1,9,155.0,5,250000.0,6,4,1,2,1
60,269716469,4,3,3,3,9,134.0,3,300000.0,16,8,1,3,2
